Seed:  0
PMPGNN(
  (convs): ModuleList(
    (0): ParallelGNNBlock(
      (conv1): GATv2Conv(128, 128, heads=1)
      (conv2): GATv2Conv(128, 128, heads=1)
      (norm): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
    (1-2): 2 x ParallelGNNBlock(
      (conv1): GATv2Conv(256, 128, heads=1)
      (conv2): GATv2Conv(256, 128, heads=1)
      (norm): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
    (3): GATv2Conv(256, 256, heads=1)
  )
  (norm): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
  (mlp): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): LeakyReLU(negative_slope=0.01)
    (2): Dropout(p=0.3, inplace=False)
    (3): Linear(in_features=64, out_features=7, bias=True)
  )
  (proj): Linear(in_features=1433, out_features=128, bias=True)
)
Epoch: 1, Loss: 1.9861, Train: 0.2214, Val: 0.2740, Test: 0.2820
Epoch: 2, Loss: 1.9502, Train: 0.3429, Val: 0.3460, Test: 0.3580
Epoch: 3, Loss: 1.9001, Train: 0.5429, Val: 0.4860, Test: 0.4790
Epoch: 4, Loss: 1.8318, Train: 0.7071, Val: 0.5840, Test: 0.5710
Epoch: 5, Loss: 1.8513, Train: 0.7429, Val: 0.6040, Test: 0.5930
Epoch: 6, Loss: 1.8148, Train: 0.7786, Val: 0.6120, Test: 0.6090
Epoch: 7, Loss: 1.7680, Train: 0.8000, Val: 0.6160, Test: 0.6080
Epoch: 8, Loss: 1.6947, Train: 0.8071, Val: 0.6140, Test: 0.6010
Epoch: 9, Loss: 1.6478, Train: 0.8286, Val: 0.6320, Test: 0.6030
Epoch: 10, Loss: 1.6216, Train: 0.8429, Val: 0.6420, Test: 0.6200
Epoch: 11, Loss: 1.5676, Train: 0.8571, Val: 0.6620, Test: 0.6550
Epoch: 12, Loss: 1.4821, Train: 0.8714, Val: 0.6840, Test: 0.6820
Epoch: 13, Loss: 1.4431, Train: 0.8714, Val: 0.7100, Test: 0.6950
Epoch: 14, Loss: 1.4066, Train: 0.8643, Val: 0.7160, Test: 0.7070
Epoch: 15, Loss: 1.3306, Train: 0.8929, Val: 0.7140, Test: 0.7150
Epoch: 16, Loss: 1.3198, Train: 0.9143, Val: 0.7320, Test: 0.7230
Epoch: 17, Loss: 1.2070, Train: 0.9286, Val: 0.7340, Test: 0.7290
Epoch: 18, Loss: 1.1470, Train: 0.9429, Val: 0.7360, Test: 0.7330
Epoch: 19, Loss: 1.0519, Train: 0.9500, Val: 0.7420, Test: 0.7350
Epoch: 20, Loss: 1.0411, Train: 0.9500, Val: 0.7460, Test: 0.7360
Epoch: 21, Loss: 0.9466, Train: 0.9643, Val: 0.7420, Test: 0.7380
Epoch: 22, Loss: 0.8966, Train: 0.9571, Val: 0.7440, Test: 0.7580
Epoch: 23, Loss: 0.7795, Train: 0.9643, Val: 0.7460, Test: 0.7680
Epoch: 24, Loss: 0.7538, Train: 0.9714, Val: 0.7500, Test: 0.7710
Epoch: 25, Loss: 0.6676, Train: 0.9857, Val: 0.7560, Test: 0.7780
Epoch: 26, Loss: 0.6643, Train: 1.0000, Val: 0.7580, Test: 0.7840
Epoch: 27, Loss: 0.5980, Train: 1.0000, Val: 0.7580, Test: 0.7850
Epoch: 28, Loss: 0.4961, Train: 1.0000, Val: 0.7520, Test: 0.7780
Epoch: 29, Loss: 0.4708, Train: 1.0000, Val: 0.7480, Test: 0.7800
Epoch: 30, Loss: 0.3990, Train: 1.0000, Val: 0.7500, Test: 0.7790
