/home/mayi/anaconda3/envs/zzy_DIR/lib/python3.9/site-packages/torch_geometric/deprecation.py:26: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
2025-03-05 16:32:25,225 - /home/mayi/data/zzy/DIR-GNN/utils/helper.py[line:49] - INFO: +----------------+---------------------------------+
| Parameter      | Value                           |
+----------------+---------------------------------+
| cuda           | 1                               |
+----------------+---------------------------------+
| datadir        | ../data/                        |
+----------------+---------------------------------+
| epoch          | 100                             |
+----------------+---------------------------------+
| reg            | True                            |
+----------------+---------------------------------+
| seed           | [1, 2, 3, 4, 5, 6, 7, 8, 9, 10] |
+----------------+---------------------------------+
| channels       | 128                             |
+----------------+---------------------------------+
| commit         |                                 |
+----------------+---------------------------------+
| type           | none                            |
+----------------+---------------------------------+
| input_channels | 768                             |
+----------------+---------------------------------+
| pretrain       | 10                              |
+----------------+---------------------------------+
| alpha          | 10                              |
+----------------+---------------------------------+
| r              | 0.500                           |
+----------------+---------------------------------+
| batch_size     | 128                             |
+----------------+---------------------------------+
| net_lr         | 0.001                           |
+----------------+---------------------------------+
| layers         | 4                               |
+----------------+---------------------------------+
| heads          | 4                               |
+----------------+---------------------------------+
| dataset        | politifact                      |
+----------------+---------------------------------+
| feature        | bert                            |
+----------------+---------------------------------+
| dropout        | 0.250                           |
+----------------+---------------------------------+
2025-03-05 16:32:25,225 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:344] - INFO: Seed:  1
2025-03-05 16:32:25,393 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:424] - INFO: # Train: 8298  #Test: 1186.0 #Val: 2371
2025-03-05 16:32:27,976 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  0/100]Train_ACC:0.453 Test_ACC:0.445  Val_ACC:0.417  Train_Pre:0.543 Test_Pre:0.471  Val_Pre:0.574  Train_Recall:0.377 Test_Recall:0.365  Val_Recall:0.356  Train_F1:0.350 Test_F1:0.335  Val_F1:0.324  
2025-03-05 16:32:30,077 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  1/100]Train_ACC:0.493 Test_ACC:0.476  Val_ACC:0.466  Train_Pre:0.525 Test_Pre:0.475  Val_Pre:0.501  Train_Recall:0.443 Test_Recall:0.416  Val_Recall:0.420  Train_F1:0.412 Test_F1:0.381  Val_F1:0.389  
2025-03-05 16:32:32,184 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  2/100]Train_ACC:0.512 Test_ACC:0.489  Val_ACC:0.472  Train_Pre:0.561 Test_Pre:0.517  Val_Pre:0.515  Train_Recall:0.462 Test_Recall:0.430  Val_Recall:0.425  Train_F1:0.424 Test_F1:0.392  Val_F1:0.387  
2025-03-05 16:32:34,373 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  3/100]Train_ACC:0.539 Test_ACC:0.492  Val_ACC:0.490  Train_Pre:0.572 Test_Pre:0.494  Val_Pre:0.508  Train_Recall:0.488 Test_Recall:0.435  Val_Recall:0.444  Train_F1:0.485 Test_F1:0.428  Val_F1:0.430  
2025-03-05 16:32:36,477 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  4/100]Train_ACC:0.542 Test_ACC:0.502  Val_ACC:0.476  Train_Pre:0.598 Test_Pre:0.535  Val_Pre:0.499  Train_Recall:0.472 Test_Recall:0.430  Val_Recall:0.416  Train_F1:0.456 Test_F1:0.413  Val_F1:0.391  
2025-03-05 16:32:38,555 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  5/100]Train_ACC:0.544 Test_ACC:0.481  Val_ACC:0.471  Train_Pre:0.565 Test_Pre:0.486  Val_Pre:0.491  Train_Recall:0.513 Test_Recall:0.444  Val_Recall:0.436  Train_F1:0.511 Test_F1:0.440  Val_F1:0.435  
2025-03-05 16:32:40,639 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  6/100]Train_ACC:0.584 Test_ACC:0.498  Val_ACC:0.481  Train_Pre:0.607 Test_Pre:0.479  Val_Pre:0.488  Train_Recall:0.552 Test_Recall:0.455  Val_Recall:0.451  Train_F1:0.549 Test_F1:0.445  Val_F1:0.443  
2025-03-05 16:32:42,714 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  7/100]Train_ACC:0.601 Test_ACC:0.496  Val_ACC:0.478  Train_Pre:0.655 Test_Pre:0.499  Val_Pre:0.500  Train_Recall:0.548 Test_Recall:0.435  Val_Recall:0.432  Train_F1:0.555 Test_F1:0.432  Val_F1:0.423  
2025-03-05 16:32:44,744 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  8/100]Train_ACC:0.628 Test_ACC:0.499  Val_ACC:0.473  Train_Pre:0.641 Test_Pre:0.484  Val_Pre:0.474  Train_Recall:0.607 Test_Recall:0.468  Val_Recall:0.454  Train_F1:0.610 Test_F1:0.467  Val_F1:0.453  
2025-03-05 16:32:46,812 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [  9/100]Train_ACC:0.608 Test_ACC:0.478  Val_ACC:0.453  Train_Pre:0.617 Test_Pre:0.460  Val_Pre:0.451  Train_Recall:0.606 Test_Recall:0.464  Val_Recall:0.443  Train_F1:0.591 Test_F1:0.449  Val_F1:0.434  
2025-03-05 16:32:48,861 - /home/mayi/data/zzy/DIR-GNN/train/sst5.py[line:457] - INFO: Epoch [ 10/100]Train_ACC:0.646 Test_ACC:0.474  Val_ACC:0.470  Train_Pre:0.650 Test_Pre:0.463  Val_Pre:0.471  Train_Recall:0.657 Test_Recall:0.475  Val_Recall:0.477  Train_F1:0.640 Test_F1:0.462  Val_F1:0.465  
